LocalAuthorityCode,LocalAuthorityName,SiteCode,SiteName,SiteType,DateClosed,DateOpened,Latitude,Longitude,LatitudeWGS84,LongitudeWGS84,Northing,Easting
27,Richmond,TD0,"- National Physical Laboratory, Teddington",Suburban,2018-01-01 00:00:00,1996-08-08 00:00:00,51.4243043441456,-0.345714576446947,6696103.27675,-37808.8858115,515004.02694524825,170830.04233763213
1,Barking and Dagenham,BG3,Barking and Dagenham - North Street,Kerbside,2011-05-25 00:00:00,2007-03-16 00:00:00,51.540444,0.074418,6717454.5833,8284.17386585,543842.656649318,184486.4572335174
1,Barking and Dagenham,BG1,Barking and Dagenham - Rush Green,Suburban,,1999-11-02 00:00:00,51.563752,0.177891,6721627.34498,19802.7355367,550939.6521256693,187286.55341723666
1,Barking and Dagenham,BG2,Barking and Dagenham - Scrattons Farm,Suburban,,1999-10-17 00:00:00,51.529389,0.132857,6715476.18683,14789.5735883,547930.31419576,183373.8269306298
2,Barnet,BN2,Barnet - Finchley,Urban Background,2012-04-20 00:00:00,2000-08-09 13:00:00,51.591901,-0.205992,6726669.62886,-22930.9245475,524259.85315402073,189693.949351877
2,Barnet,BN3,Barnet - Strawberry Vale ,Urban Background,2002-05-15 00:00:00,2000-08-14 14:00:00,51.6008848453589,-0.172297542087178,6728279.54795,-19180.0746501,526568.5017166076,190750.7012757092
2,Barnet,BN1,Barnet - Tally Ho Corner,Kerbside,2012-04-20 00:00:00,1998-12-20 12:00:00,51.614675,-0.176607,6730751.38494,-19659.8013105,526231.83456612,192276.61484609847
3,Bexley,BX5,Bexley - Bedonwell ,Suburban,2004-04-08 00:00:00,1999-10-06 13:00:00,51.4788023547334,0.133873839062683,6706429.353,14902.767595,548164.8554616894,177751.3335424078
3,Bexley,BX2,Bexley - Belvedere,Suburban,,1998-01-24 15:00:00,51.4906102082147,0.158914493927518,6708546.55118,17686.6633362,549864.6374487355,179115.17651959072
3,Bexley,BX0,Bexley - Belvedere FDMS,Suburban,2022-01-28 00:00:00,2004-04-28 00:00:00,51.4906102082147,0.158914493927518,6708546.55118,17686.6633362,549864.6374487355,179115.17651959072
3,Bexley,BQ7,Bexley - Belvedere West,Urban Background,,2010-08-24 00:00:00,51.4946486813055,0.137279111232178,6709278.28804,14951.9364255,548349.8250851275,179520.12267489082
3,Bexley,BQ8,Bexley - Belvedere West FDMS,Urban Background,2022-02-23 00:00:00,2010-08-24 00:00:00,51.4946486813055,0.137279111232178,6709278.28804,14951.9364255,548349.8250851275,179520.12267489082
3,Bexley,BX4,Bexley - Erith,Industrial,2014-12-19 00:00:00,1999-04-28 00:00:00,51.477670796298,0.190836225974902,6706230.53407,21238.8682874,552123.3608402634,177742.34876862157
3,Bexley,BQ6,Bexley - Manor Road East Gravimetric,Industrial,2014-10-28 00:00:00,2010-02-12 00:00:00,51.477670796298,0.190836225974902,6706369.57357,20619.592703,552123.3608402634,177742.34876862157
3,Bexley,BQ5,Bexley - Manor Road West Gravimetric,Industrial,2014-10-28 00:00:00,1999-04-28 09:00:00,51.4781935083933,0.187404883999095,6706322.58301,20868.1743831,551883.3906171891,177793.34181285085
3,Bexley,BX1,Bexley - Slade Green,Suburban,,1994-05-25 00:00:00,51.4659832746662,0.184877126994369,6704140.10457,20577.2727637,551748.4130952875,176430.50430066398
3,Bexley,BX9,Bexley - Slade Green FDMS,Suburban,2020-10-01 00:00:00,2008-10-21 00:00:00,51.4659832746662,0.184877126994369,6704140.10457,20577.2727637,551748.4130952875,176430.50430066398
3,Bexley,BQ9,Bexley - Slade Green Fidas,Suburban,,2020-10-01 00:00:00,51.4659832746662,0.184877126994369,6704140.10457,20577.2727637,551748.4130952875,176430.50430066398
3,Bexley,BX7,Bexley - Thames Road North,Roadside,2010-03-23 00:00:00,2004-04-08 00:00:00,51.457159,0.195294,6702561.75534,21740.028635,552501.2460037025,175471.02043134318
3,Bexley,BX6,Bexley - Thames Road North FDMS,Roadside,2010-03-23 00:00:00,2004-04-08 00:00:00,51.457159,0.195294,6702561.75534,21740.028635,552501.2460037025,175471.02043134318
3,Bexley,BX8,Bexley - Thames Road South,Roadside,2010-04-15 00:00:00,2004-04-06 00:00:00,51.456887,0.194582,6702513.16149,21660.7691575,552452.6970923332,175439.29563466745
3,Bexley,BX3,Bexley - Thamesmead,Suburban,2018-03-12 00:00:00,1998-01-24 15:00:00,51.510808,0.121617,6712152.02371,13538.3425118,547210.7272922322,181285.19375632668
4,Brent,BT8,Brent - ARK Franklin Primary Academy,Roadside,,2017-10-30 00:00:00,51.5324054617809,-0.217718908639377,6716981.19188,-27584.1905821,523608.9026362507,183058.61090463397
4,Brent,BT3,Brent - Harlesden,Roadside,2006-09-27 00:00:00,2001-10-31 00:00:00,51.5370800298103,-0.249273425299457,6716852.51826,-27748.9907726,521408.17580422375,183525.5471661149
4,Brent,BT4,Brent - Ikea,Roadside,,2003-06-20 06:00:00,51.552476,-0.258089,6719608.36938,-28730.3360593,520756.1124516834,185222.87711801383
4,Brent,BT2,Brent - Ikea Car Park,Roadside,2003-06-16 00:00:00,2001-06-17 12:00:00,51.5524326273922,-0.260338843869077,6719600.60445,-28980.7875332,520600.2699956915,185214.34225745426
4,Brent,BT6,Brent - John Keble Primary School,Roadside,,2006-11-01 00:00:00,51.537799,-0.247793,6716981.19188,-27584.1905821,521508.9171575463,183607.94931198342
4,Brent,BT1,Brent - Kingsbury,Suburban,2010-11-16 00:00:00,1996-01-26 00:00:00,51.589618,-0.275519,6726260.56244,-30670.6347839,519450.47349933384,189324.19774032646
4,Brent,BT5,Brent - Neasden Lane,Industrial,,2004-02-29 23:00:00,51.552656,-0.248774,6719640.59457,-27693.3950026,521401.34025340446,185258.31218955404
4,Brent,BT7,Brent - St Marys Primary School,Urban Background,2010-12-21 00:00:00,2008-01-04 00:00:00,51.534718,-0.196664,6716429.80163,-21892.5363374,525062.704791737,183351.53038551693
5,Bromley,BY5,Bromley - Biggin Hill,Suburban,2010-07-09 08:45:00,1996-04-01 00:00:00,51.314562,0.042019,6677125.85831,4677.53368364,542296.3908150226,159308.1784773629
5,Bromley,BY7,Bromley - Harwood Avenue,Roadside,,1998-07-06 11:00:00,51.405546,0.018882,6693346.07386,2101.93462516,540405.7183191846,169379.70009356143
5,Bromley,BY1,Bromley - Rent Office,Urban Background,1996-01-11 21:00:00,1993-01-01 00:00:00,51.4132338948359,0.00721471618770671,6694718.1147,803.138532233,539570.9601055883,170212.20420562723
5,Bromley,BY4,Bromley - Tweedy Rd,Roadside,1998-07-06 10:45:00,1996-01-28 11:00:00,51.403834810795,0.020390228913718,6693040.71326,2269.82989983,540515.8462175459,169192.32950267816
6,Camden,BL0,Camden - Bloomsbury,Urban Background,,1992-01-23 00:00:00,51.522287,-0.125848,6714205.47041,-14009.3352774,530008.870313578,182092.75543489904
6,Camden,KX4,Camden - Coopers Lane,Industrial,2020-07-01 00:00:00,2009-07-01 00:00:00,51.533238,-0.129594,6716164.9471449,-14426.3380898635,529717.9015085194,183303.75734074303
6,Camden,CD9,Camden - Euston Road,Roadside,2020-07-02 00:00:00,2011-01-29 00:00:00,51.527975,-0.1287742,6715175.15109,-14366.1370973,529789.7212842377,182720.01348897116
6,Camden,IM1,Camden - Holborn (Bee Midtown),Kerbside,,2014-02-06 00:00:00,51.5173675146177,-0.1201947113171,6713325.37384719,-13380.0140598641,530415.0580950005,181555.81503245185
6,Camden,CD3,Camden - Shaftesbury Avenue,Roadside,2016-11-04 00:00:00,2000-04-20 06:00:00,51.515532,-0.127027,6712997.0244,-14140.580957,529946.317512568,181339.56807069556
